Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra		Todas las explotaciones	2 Ovinos			Cabezas	Valor	466.650
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra		Todas las explotaciones	4 Porcinos			Cabezas	Valor	827.530
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.944.276
Total Nacional	16 País Vasco			Todas las explotaciones	1 Bovinos			Cabezas	Valor	140.567
Total Nacional	16 País Vasco			Todas las explotaciones	2 Ovinos			Cabezas	Valor	222.642
Total Nacional	16 País Vasco			Todas las explotaciones	4 Porcinos			Cabezas	Valor	29.664
Total Nacional	16 País Vasco			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.491.974
Total Nacional	16 País Vasco	01 Araba/Álava		Todas las explotaciones	1 Bovinos			Cabezas	Valor	43.060
Total Nacional	16 País Vasco	01 Araba/Álava		Todas las explotaciones	2 Ovinos			Cabezas	Valor	48.168
Total Nacional	16 País Vasco	01 Araba/Álava		Todas las explotaciones	4 Porcinos			Cabezas	Valor	20.822
Total Nacional	16 País Vasco	01 Araba/Álava		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	415.536
Total Nacional	16 País Vasco	48 Bizkaia		Todas las explotaciones	1 Bovinos			Cabezas	Valor	46.851
Total Nacional	16 País Vasco	48 Bizkaia		Todas las explotaciones	2 Ovinos			Cabezas	Valor	49.009
Total Nacional	16 País Vasco	48 Bizkaia		Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.984
Total Nacional	16 País Vasco	48 Bizkaia		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	789.915
Total Nacional	16 País Vasco	20 Gipuzkoa		Todas las explotaciones	1 Bovinos			Cabezas	Valor	50.656
Total Nacional	16 País Vasco	20 Gipuzkoa		Todas las explotaciones	2 Ovinos			Cabezas	Valor	125.465
Total Nacional	16 País Vasco	20 Gipuzkoa		Todas las explotaciones	4 Porcinos			Cabezas	Valor	5.858
Total Nacional	16 País Vasco	20 Gipuzkoa		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	286.523
Total Nacional	17 Rioja, La			Todas las explotaciones	1 Bovinos			Cabezas	Valor	43.322
Total Nacional	17 Rioja, La			Todas las explotaciones	2 Ovinos			Cabezas	Valor	103.590
Total Nacional	17 Rioja, La			Todas las explotaciones	4 Porcinos			Cabezas	Valor	175.662
Total Nacional	17 Rioja, La			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.231.889
Total Nacional	17 Rioja, La	26 Rioja, La		Todas las explotaciones	1 Bovinos			Cabezas	Valor	43.322
Total Nacional	17 Rioja, La	26 Rioja, La		Todas las explotaciones	2 Ovinos			Cabezas	Valor	103.590
Total Nacional	17 Rioja, La	26 Rioja, La		Todas las explotaciones	4 Porcinos			Cabezas	Valor	175.662
Total Nacional	17 Rioja, La	26 Rioja, La		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.231.889
Total Nacional	18 Ceuta			Todas las explotaciones	1 Bovinos			Cabezas	Valor	..
Total Nacional	18 Ceuta			Todas las explotaciones	2 Ovinos			Cabezas	Valor	..
Total Nacional	18 Ceuta			Todas las explotaciones	4 Porcinos			Cabezas	Valor	..
Total Nacional	18 Ceuta			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	..
Total Nacional	18 Ceuta	51 Ceuta		Todas las explotaciones	1 Bovinos			Cabezas	Valor	..
Total Nacional	18 Ceuta	51 Ceuta		Todas las explotaciones	2 Ovinos			Cabezas	Valor	..
Total Nacional	18 Ceuta	51 Ceuta		Todas las explotaciones	4 Porcinos			Cabezas	Valor	..
Total Nacional	18 Ceuta	51 Ceuta		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	..
Total Nacional	19 Melilla			Todas las explotaciones	1 Bovinos			Cabezas	Valor	..
Total Nacional	19 Melilla			Todas las explotaciones	2 Ovinos			Cabezas	Valor	..
Total Nacional	19 Melilla			Todas las explotaciones	4 Porcinos			Cabezas	Valor	..
Total Nacional	19 Melilla			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	..
Total Nacional	19 Melilla	52 Melilla		Todas las explotaciones	1 Bovinos			Cabezas	Valor	..
Total Nacional	19 Melilla	52 Melilla		Todas las explotaciones	2 Ovinos			Cabezas	Valor	..
Total Nacional	19 Melilla	52 Melilla		Todas las explotaciones	4 Porcinos			Cabezas	Valor	..
Total Nacional	19 Melilla	52 Melilla		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	..
